author1,author2,collaborations
"Christine E Nelson","Christine E Nelson",351
"Kenji Watanabe","Takashi Taniguchi",186
"F. De Mori","Y. Ding",145
"Henrik Zetterberg","Kaj Blennow",131
"Y. Ding","Yang Gao",128
"G. Aad","L. Adámek",127
"B. Abbott","L. Adámek",127
"K. Abeling","L. Adámek",127
"L. Adámek","S. H. Abidi",127
"H. Abramowicz","L. Adámek",127
"H. Abreu","L. Adámek",127
"L. Adámek","Y. Abulaiti",127
"B. S. Acharya","L. Adámek",127
"C. Adam Bourdarios","L. Adámek",127
"L. Adamczyk","L. Adámek",127
"J. Adelman","L. Adámek",127
"L. Adámek","T. Adye",127
"A. A. Affolder","L. Adámek",127
"L. Adámek","Y. Afik",127
"L. Adámek","M. N. Agaras",127
"A. Aggarwal","L. Adámek",127
"C. Agheorghiesei","L. Adámek",127
"F. Ahmadov","L. Adámek",127
"L. Adámek","W. S. Ahmed",127
"L. Adámek","X. Ai",127
"G. Aielli","L. Adámek",127
"L. Adámek","T. P. A. Åkesson",127
"K. Al Khoury","L. Adámek",127
"G. L. Alberghi","L. Adámek",127
"J. Albert","L. Adámek",127
"L. Adámek","S. Alderweireldt",127
"L. Adámek","M. Aleksa",127
"C. Alexa","L. Adámek",127
"L. Adámek","M. Alhroob",127
"B. Ali","L. Adámek",127
"G. Alimonti","L. Adámek",127
"C. Allaire","L. Adámek",127
"B. M. M. Allbrooke","L. Adámek",127
"L. Adámek","P. P. Allport",127
"A. Aloisio","L. Adámek",127
"C. Alpigiani","L. Adámek",127
"L. Adámek","M. Alvarez Estevez",127
"L. Adámek","Y. Amaral Coutinho",127
"A. Ambler","L. Adámek",127
"C. Amelung","L. Adámek",127
"C. Anastopoulos","L. Adámek",127
"L. Adámek","T. Andeen",127
"J. K. Anders","L. Adámek",127
"A. Andreazza","L. Adámek",127
"A. Angerami","L. Adámek",127
