author,degree_centrality,betweenness_centrality,eigenvector_centrality,collaboration_span,cross_field_collaborations,weighted_collaboration_strength,publication_count,citation_impact,influence_score,collaboration_diversity
X. Ai,0.067,0.023,0.1,198,197,10260,111,0,0.251,0.995
P. Albicocco,0.07,0.002,0.112,205,114,11314,120,0,0.224,0.556
Wei Wang,0.112,0.023,0.001,328,327,568,228,0,0.184,0.997
Wei Chen,0.103,0.043,0.001,303,302,475,149,0,0.174,0.997
L. Adámek,0.037,0.0,0.094,109,3,12054,127,0,0.173,0.028
Yang Gao,0.058,0.018,0.008,170,169,5899,114,0,0.167,0.994
Jing Wang,0.101,0.018,0.001,295,294,496,202,0,0.165,0.997
Wei Zhang,0.099,0.013,0.001,291,290,440,183,0,0.161,0.997
B. Ali,0.068,0.003,0.1,199,9,9845,105,0,0.156,0.045
Xin Wang,0.09,0.03,0.001,264,263,779,173,0,0.155,0.996
Wei Li,0.093,0.012,0.001,273,272,411,174,0,0.151,0.996
L. Adamczyk,0.042,0.01,0.094,124,12,9578,112,0,0.149,0.097
Yang Liu,0.09,0.011,0.001,263,262,428,224,0,0.146,0.996
Jing Li,0.088,0.019,0.001,260,260,402,148,0,0.146,1.0
Yan Li,0.089,0.016,0.001,261,261,394,137,0,0.146,1.0
C. Agapopoulou,0.066,0.002,0.103,194,103,5463,59,0,0.144,0.531
Chao Chen,0.059,0.022,0.009,173,172,3828,80,0,0.144,0.994
A. Angerami,0.038,0.001,0.094,113,6,9431,104,0,0.142,0.053
C. Antel,0.037,0.004,0.093,110,5,9435,105,0,0.142,0.045
H. Abreu,0.037,0.004,0.093,110,5,9431,103,0,0.142,0.045
