author,degree_centrality,betweenness_centrality,eigenvector_centrality,influence_score
Simone Ferraro,0.28012519561815336,0.04519208598858915,1.8990533635340543e-05,0.10844542404679262
Mohsen Abbasi‐Kangevari,0.19405320813771518,0.03251847971639374,0.08490708853785567,0.10382625879732153
Richard Gyan Aboagye,0.2050078247261346,7.807919311883305e-05,0.0927164087131669,0.09926743754414012
Hassan Abolhassani,0.2050078247261346,7.807919311883305e-05,0.0927164087131669,0.09926743754414012
Hedayat Abbastabar,0.2050078247261346,7.807919311883305e-05,0.0927164087131669,0.09926743754414012
Antonella Agodi,0.2050078247261346,7.807919311883305e-05,0.0927164087131669,0.09926743754414012
Williams Agyemang‐Duah,0.2050078247261346,7.807919311883305e-05,0.0927164087131669,0.09926743754414012
Bright Opoku Ahinkorah,0.2050078247261346,7.807919311883305e-05,0.0927164087131669,0.09926743754414012
Aqeel Ahmad,0.2050078247261346,7.807919311883305e-05,0.0927164087131669,0.09926743754414012
Danish Ahmad,0.2050078247261346,7.807919311883305e-05,0.0927164087131669,0.09926743754414012
Qorinah Estiningtyas Sakilah Adnani,0.2050078247261346,7.807919311883305e-05,0.0927164087131669,0.09926743754414012
Mohammadreza Abbasian,0.2050078247261346,7.807919311883305e-05,0.0927164087131669,0.09926743754414012
Victor Adekanmbi,0.2050078247261346,7.807919311883305e-05,0.0927164087131669,0.09926743754414012
Saira Afzal,0.2050078247261346,7.807919311883305e-05,0.0927164087131669,0.09926743754414012
Ayman Ahmed,0.2050078247261346,7.807919311883305e-05,0.0927164087131669,0.09926743754414012
Haroon Ahmed,0.2050078247261346,7.807919311883305e-05,0.0927164087131669,0.09926743754414012
Yohannes Habtegiorgis Abate,0.2050078247261346,7.807919311883305e-05,0.0927164087131669,0.09926743754414012
Luai A. Ahmed,0.2050078247261346,7.807919311883305e-05,0.0927164087131669,0.09926743754414012
Auwal Abdullahi,0.2050078247261346,7.807919311883305e-05,0.0927164087131669,0.09926743754414012
Syed Anees Ahmed,0.2050078247261346,7.807919311883305e-05,0.0927164087131669,0.09926743754414012
